date,symbol,series,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover_rs,no_of_trades,deliverable_qty,pct_dly_qt_to_traded_qty,daily_return_pct,log_return,rolling_volatility_20,rolling_avg_20,rolling_avg_50
2025-02-01,NIFTYBEES,EQ,,261.01,264.7,261.0,262.35,262.13,262.76,"90,97,872","2,39,05,45,631.77","56,724","36,71,504",40.36,-0.003,-3.381977442531902e-05,,,
2025-02-03,NIFTYBEES,EQ,262.13,261.65,261.65,260.0,261.5,261.47,260.83,"40,23,172","1,04,93,46,697.24","68,316","24,35,682",60.54,-0.252,-0.0025210097385480372,,,
2025-02-04,NIFTYBEES,EQ,261.47,263.0,265.22,261.49,265.2,265.05,263.35,"73,92,693","1,94,68,91,386.00","43,964","41,49,695",56.13,1.369,0.013598933263341944,,,
2025-02-05,NIFTYBEES,EQ,265.05,265.95,265.95,265.0,265.2,265.25,265.47,"34,46,888","91,50,52,022.97","43,715","22,42,028",65.04,0.075,0.000754290060277428,,,
2025-02-06,NIFTYBEES,EQ,265.25,265.2,267.99,263.85,264.58,264.37,264.39,"32,91,441","87,02,40,521.95","38,382","18,66,753",56.72,-0.332,-0.003323140401945018,,,
2025-02-07,NIFTYBEES,EQ,264.37,265.5,265.5,262.6,263.85,263.75,264.04,"45,65,941","1,20,56,07,209.06","44,293","21,18,844",46.41,-0.235,-0.0023479523018712064,,,
2025-02-10,NIFTYBEES,EQ,263.75,265.99,265.99,261.2,262.1,261.9,262.04,"62,25,361","1,63,12,99,140.04","68,728","44,95,046",72.21,-0.701,-0.007038933276610135,,,
2025-02-11,NIFTYBEES,EQ,261.9,262.99,262.99,257.52,258.8,258.55,259.54,"93,21,702","2,41,93,86,892.51","78,309","59,34,827",63.67,-1.279,-0.012873652671435606,,,
2025-02-12,NIFTYBEES,EQ,258.55,259.75,259.75,255.6,258.57,258.27,257.55,"79,29,756","2,04,23,24,189.48","69,170","49,15,833",61.99,-0.108,-0.001083549504257646,,,
2025-02-13,NIFTYBEES,EQ,258.27,259.99,260.49,257.73,258.15,258.17,259.23,"50,78,676","1,31,65,63,634.03","40,426","33,41,218",65.79,-0.039,-0.0003872666766701836,,,
2025-02-14,NIFTYBEES,EQ,258.17,259.99,259.99,255.35,256.91,256.95,256.68,"71,11,034","1,82,52,80,622.55","76,657","46,75,430",65.75,-0.473,-0.004736769223064168,,,
2025-02-17,NIFTYBEES,EQ,256.95,257.95,257.95,255.01,257.33,257.11,256.24,"73,79,260","1,89,08,90,913.41","71,041","40,09,162",54.33,0.062,0.0006224954486507082,,,
2025-02-18,NIFTYBEES,EQ,257.11,256.28,257.7,255.4,256.75,256.84,256.36,"39,17,336","1,00,42,37,351.45","45,474","20,01,780",51.1,-0.105,-0.001050685961041751,,,
2025-02-19,NIFTYBEES,EQ,256.84,257.99,258.44,255.62,257.0,256.89,257.17,"51,89,115","1,33,44,73,763.39","39,949","29,89,180",57.6,0.019,0.00019465478036282544,,,
2025-02-20,NIFTYBEES,EQ,256.89,257.99,257.99,255.75,256.89,256.85,256.62,"40,75,280","1,04,57,81,522.25","34,757","28,73,020",70.5,-0.016,-0.00015572079293334597,,,
2025-02-21,NIFTYBEES,EQ,256.85,257.99,257.99,254.8,255.35,255.53,255.52,"62,88,816","1,60,69,31,533.69","68,563","42,46,951",67.53,-0.514,-0.005152437332588584,,,
2025-02-24,NIFTYBEES,EQ,255.53,255.2,255.2,252.5,252.89,252.87,253.15,"92,01,091","2,32,92,79,598.11","1,17,245","72,15,123",78.42,-1.041,-0.010464296903187776,,,
2025-02-25,NIFTYBEES,EQ,252.87,252.98,253.58,252.31,252.75,252.75,252.98,"35,49,369","89,79,15,575.66","40,346","19,53,448",55.04,-0.047,-0.00047466477691971267,,,
2025-02-27,NIFTYBEES,EQ,252.75,253.8,253.8,252.06,252.58,252.56,252.57,"35,67,646","90,10,85,858.29","44,268","24,80,601",69.53,-0.075,-0.0007520136508445194,,,
2025-02-28,NIFTYBEES,EQ,252.56,252.95,252.95,248.08,249.13,248.45,249.17,"1,96,32,154","4,89,16,59,432.71","1,59,877","1,71,78,576",87.5,-1.627,-0.01640722620140669,0.0061182135093001125,258.283,
2025-03-03,NIFTYBEES,EQ,248.45,255.9,255.9,246.64,248.33,248.05,247.83,"83,03,131","2,05,77,81,222.40","1,11,826","61,90,369",74.55,-0.161,-0.0016112793012715925,0.006092396041199592,257.5365,
2025-03-04,NIFTYBEES,EQ,248.05,247.74,247.78,246.08,247.49,247.49,247.33,"70,23,813","1,73,71,68,235.91","56,918","57,67,581",82.11,-0.226,-0.0022601615949821904,0.0060932148961968914,256.8615,
2025-03-05,NIFTYBEES,EQ,247.49,248.7,251.0,246.3,251.0,250.48,249.64,"70,30,334","1,75,50,42,141.01","55,335","50,85,444",72.34,1.208,0.012008899866074545,0.005875180772018425,256.17600000000004,
2025-03-06,NIFTYBEES,EQ,250.48,252.9,252.9,249.43,252.68,252.75,251.31,"74,79,954","1,87,97,61,286.59","47,810","47,59,526",63.63,0.906,0.009021780882430594,0.00640717995777512,255.46800000000002,
