"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"NIFTYBEES","EQ","01-Feb-2025","263.00","261.01","264.70","261.00","262.35","262.13","262.76","90,97,872","2,39,05,45,631.77","56,724","36,71,504","40.36"
"NIFTYBEES","EQ","03-Feb-2025","262.13","261.65","261.65","260.00","261.50","261.47","260.83","40,23,172","1,04,93,46,697.24","68,316","24,35,682","60.54"
"NIFTYBEES","EQ","04-Feb-2025","261.47","263.00","265.22","261.49","265.20","265.05","263.35","73,92,693","1,94,68,91,386.00","43,964","41,49,695","56.13"
"NIFTYBEES","EQ","05-Feb-2025","265.05","265.95","265.95","265.00","265.20","265.25","265.47","34,46,888","91,50,52,022.97","43,715","22,42,028","65.04"
"NIFTYBEES","EQ","06-Feb-2025","265.25","265.20","267.99","263.85","264.58","264.37","264.39","32,91,441","87,02,40,521.95","38,382","18,66,753","56.72"
"NIFTYBEES","EQ","07-Feb-2025","264.37","265.50","265.50","262.60","263.85","263.75","264.04","45,65,941","1,20,56,07,209.06","44,293","21,18,844","46.41"
"NIFTYBEES","EQ","10-Feb-2025","263.75","265.99","265.99","261.20","262.10","261.90","262.04","62,25,361","1,63,12,99,140.04","68,728","44,95,046","72.21"
"NIFTYBEES","EQ","11-Feb-2025","261.90","262.99","262.99","257.52","258.80","258.55","259.54","93,21,702","2,41,93,86,892.51","78,309","59,34,827","63.67"
"NIFTYBEES","EQ","12-Feb-2025","258.55","259.75","259.75","255.60","258.57","258.27","257.55","79,29,756","2,04,23,24,189.48","69,170","49,15,833","61.99"
"NIFTYBEES","EQ","13-Feb-2025","258.27","259.99","260.49","257.73","258.15","258.17","259.23","50,78,676","1,31,65,63,634.03","40,426","33,41,218","65.79"
"NIFTYBEES","EQ","14-Feb-2025","258.17","259.99","259.99","255.35","256.91","256.95","256.68","71,11,034","1,82,52,80,622.55","76,657","46,75,430","65.75"
"NIFTYBEES","EQ","17-Feb-2025","256.95","257.95","257.95","255.01","257.33","257.11","256.24","73,79,260","1,89,08,90,913.41","71,041","40,09,162","54.33"
"NIFTYBEES","EQ","18-Feb-2025","257.11","256.28","257.70","255.40","256.75","256.84","256.36","39,17,336","1,00,42,37,351.45","45,474","20,01,780","51.10"
"NIFTYBEES","EQ","19-Feb-2025","256.84","257.99","258.44","255.62","257.00","256.89","257.17","51,89,115","1,33,44,73,763.39","39,949","29,89,180","57.60"
"NIFTYBEES","EQ","20-Feb-2025","256.89","257.99","257.99","255.75","256.89","256.85","256.62","40,75,280","1,04,57,81,522.25","34,757","28,73,020","70.50"
"NIFTYBEES","EQ","21-Feb-2025","256.85","257.99","257.99","254.80","255.35","255.53","255.52","62,88,816","1,60,69,31,533.69","68,563","42,46,951","67.53"
"NIFTYBEES","EQ","24-Feb-2025","255.53","255.20","255.20","252.50","252.89","252.87","253.15","92,01,091","2,32,92,79,598.11","1,17,245","72,15,123","78.42"
"NIFTYBEES","EQ","25-Feb-2025","252.87","252.98","253.58","252.31","252.75","252.75","252.98","35,49,369","89,79,15,575.66","40,346","19,53,448","55.04"
"NIFTYBEES","EQ","27-Feb-2025","252.75","253.80","253.80","252.06","252.58","252.56","252.57","35,67,646","90,10,85,858.29","44,268","24,80,601","69.53"
"NIFTYBEES","EQ","28-Feb-2025","252.56","252.95","252.95","248.08","249.13","248.45","249.17","1,96,32,154","4,89,16,59,432.71","1,59,877","1,71,78,576","87.50"
"NIFTYBEES","EQ","03-Mar-2025","248.45","255.90","255.90","246.64","248.33","248.05","247.83","83,03,131","2,05,77,81,222.40","1,11,826","61,90,369","74.55"
"NIFTYBEES","EQ","04-Mar-2025","248.05","247.74","247.78","246.08","247.49","247.49","247.33","70,23,813","1,73,71,68,235.91","56,918","57,67,581","82.11"
"NIFTYBEES","EQ","05-Mar-2025","247.49","248.70","251.00","246.30","251.00","250.48","249.64","70,30,334","1,75,50,42,141.01","55,335","50,85,444","72.34"
"NIFTYBEES","EQ","06-Mar-2025","250.48","252.90","252.90","249.43","252.68","252.75","251.31","74,79,954","1,87,97,61,286.59","47,810","47,59,526","63.63"
"NIFTYBEES","EQ","07-Mar-2025","252.75","252.70","253.74","251.70","252.99","252.84","252.91","42,41,305","1,07,26,63,861.82","42,288","21,67,035","51.09"
"NIFTYBEES","EQ","10-Mar-2025","252.84","252.00","254.95","251.40","251.68","251.75","252.96","54,08,616","1,36,81,45,073.85","61,920","27,57,164","50.98"
"NIFTYBEES","EQ","11-Mar-2025","251.75","251.99","252.40","249.91","252.30","252.08","251.34","44,74,243","1,12,45,38,166.47","37,033","24,56,824","54.91"
"NIFTYBEES","EQ","12-Mar-2025","252.08","253.99","253.99","250.35","251.65","251.74","251.45","38,51,048","96,83,49,703.61","44,180","20,14,658","52.31"
